ASIAN          ;NGUYEN                        
ASIAN          ;LEE                           
ASIAN          ;KIM                           
ASIAN          ;PATEL                         
ASIAN          ;TRAN                          
ASIAN          ;CHEN                          
ASIAN          ;WONG                          
ASIAN          ;LE                            
ASIAN          ;YANG                          
ASIAN          ;WANG                          
ASIAN          ;CHANG                         
ASIAN          ;CHAN                          
ASIAN          ;PHAM                          
ASIAN          ;LI                            
ASIAN          ;PARK                          
ASIAN          ;SINGH                         
ASIAN          ;LIN                           
ASIAN          ;LIU                           
ASIAN          ;WU                            
ASIAN          ;HUANG                         
ASIAN          ;LAM                           
ASIAN          ;HUYNH                         
ASIAN          ;HO                            
ASIAN          ;CHOI                          
ASIAN          ;YU                            
ASIAN          ;SHAH                          
ASIAN          ;CHUNG                         
ASIAN          ;KHAN                          
ASIAN          ;ZHANG                         
ASIAN          ;VANG                          
ASIAN          ;TRUONG                        
ASIAN          ;NG                            
ASIAN          ;PHAN                          
ASIAN          ;LIM                           
ASIAN          ;XIONG                         
ASIAN          ;VU                            
ASIAN          ;CHENG                         
ASIAN          ;CHO                           
ASIAN          ;VO                            
ASIAN          ;TANG                          
ASIAN          ;NGO                           
ASIAN          ;CHU                           
ASIAN          ;LU                            
ASIAN          ;KANG                          
ASIAN          ;LY                            
ASIAN          ;HONG                          
ASIAN          ;DANG                          
ASIAN          ;HOANG                         
ASIAN          ;DO                            
ASIAN          ;CHIN                          
ASIAN          ;TAN                           
ASIAN          ;LAU                           
ASIAN          ;BUI                           
ASIAN          ;KAUR                          
ASIAN          ;HAN                           
ASIAN          ;MA                            
ASIAN          ;DUONG                         
ASIAN          ;LEUNG                         
ASIAN          ;YEE                           
ASIAN          ;SONG                          
ASIAN          ;CHEUNG                        
ASIAN          ;ALI                           
ASIAN          ;SHIN                          
ASIAN          ;AHMED                         
ASIAN          ;YI                            
ASIAN          ;THAO                          
ASIAN          ;LAI                           
ASIAN          ;HSU                           
ASIAN          ;FONG                          
ASIAN          ;REYES                         
ASIAN          ;SUN                           
ASIAN          ;CHOW                          
ASIAN          ;YOUNG                         
ASIAN          ;LIANG                         
ASIAN          ;LO                            
ASIAN          ;HWANG                         
ASIAN          ;SANTOS                        
ASIAN          ;CRUZ                          
ASIAN          ;OH                            
ASIAN          ;SHARMA                        
ASIAN          ;CHAU                          
ASIAN          ;GARCIA                        
ASIAN          ;HA                            
ASIAN          ;KUMAR                         
ASIAN          ;XU                            
ASIAN          ;DESAI                         
ASIAN          ;THOMAS                        
ASIAN          ;HU                            
ASIAN          ;LUU                           
ASIAN          ;ZHOU                          
ASIAN          ;DINH                          
ASIAN          ;YOON                          
ASIAN          ;TRINH                         
ASIAN          ;TAM                           
ASIAN          ;LUONG                         
ASIAN          ;CHONG                         
ASIAN          ;CHIU                          
ASIAN          ;ZHENG                         
ASIAN          ;CAO                           
ASIAN          ;ZHU                           
ASIAN          ;WOO                           
ASIAN          ;ZHAO                          
ASIAN          ;JUNG                          
ASIAN          ;MAI                           
ASIAN          ;KO                            
ASIAN          ;RAMOS                         
ASIAN          ;CHUN                          
ASIAN          ;HER                           
ASIAN          ;SMITH                         
ASIAN          ;KONG                          
ASIAN          ;GUPTA                         
ASIAN          ;YOO                           
ASIAN          ;DOAN                          
ASIAN          ;MOUA                          
ASIAN          ;KWON                          
ASIAN          ;PAK                           
ASIAN          ;DELACRUZ                      
ASIAN          ;TSAI                          
ASIAN          ;MEHTA                         
ASIAN          ;MENDOZA                       
ASIAN          ;TONG                          
ASIAN          ;JIANG                         
ASIAN          ;BAUTISTA                      
ASIAN          ;SHEN                          
ASIAN          ;VUE                           
ASIAN          ;SU                            
ASIAN          ;THAI                          
ASIAN          ;ENG                           
ASIAN          ;JOHNSON                       
ASIAN          ;DAO                           
ASIAN          ;CHOU                          
ASIAN          ;HUSSAIN                       
ASIAN          ;PAN                           
ASIAN          ;AHN                           
ASIAN          ;CHAO                          
ASIAN          ;KWAN                          
ASIAN          ;QUACH                         
ASIAN          ;LOR                           
ASIAN          ;RAHMAN                        
ASIAN          ;FERNANDEZ                     
ASIAN          ;CHA                           
ASIAN          ;YAN                           
ASIAN          ;VUONG                         
ASIAN          ;CHIANG                        
ASIAN          ;LEONG                         
ASIAN          ;HE                            
ASIAN          ;FLORES                        
ASIAN          ;FUNG                          
ASIAN          ;DONG                          
ASIAN          ;NAKAMURA                      
ASIAN          ;TO                            
ASIAN          ;CHOE                          
ASIAN          ;ONG                           
ASIAN          ;TANAKA                        
ASIAN          ;LOUIE                         
ASIAN          ;YUN                           
ASIAN          ;LOPEZ                         
ASIAN          ;TU                            
ASIAN          ;YAMAMOTO                      
ASIAN          ;MATHEW                        
